doctor_id,specialty,region,language,quality_score,daily_minutes,gender,age,race,service_type,services_count,experience_years,board_certified,hires_at,current_panel_size,expected_workload,max_workload,working_weeks_by_year
29,family_practice,West,zh,0.844,360,F,40,Other,group,4,8,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 5, 6, 8, 9, 11, 12, 13, 17, 18, 19, 20, 25, 28, 29, 31, 33, 34, 39, 42, 43, 45, 46, 49]}"
30,family_practice,South,zh,0.674,360,M,48,Asian,solo,1,21,True,,0,0.0,46800,"{""2023"": [3, 4, 6, 7, 13, 15, 17, 18, 19, 23, 25, 28, 29, 30, 31, 34, 35, 36, 37, 38, 43, 44, 46, 49, 50, 51]}"
31,family_practice,Central,en,0.97,360,F,32,Asian,group,5,26,True,,0,0.0,46800,"{""2023"": [8, 10, 11, 12, 13, 17, 18, 20, 21, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 40, 44, 45, 46, 47, 49, 51]}"
32,family_practice,East,es,0.674,360,M,46,Other,solo,2,29,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 8, 9, 11, 14, 15, 16, 17, 20, 21, 22, 23, 26, 29, 30, 32, 34, 38, 39, 43, 44, 45, 47, 51]}"
33,family_practice,North,zh,0.581,360,F,31,White,group,1,12,True,,0,0.0,46800,"{""2023"": [1, 2, 4, 5, 6, 10, 13, 15, 16, 19, 20, 22, 25, 29, 31, 32, 35, 36, 39, 41, 42, 43, 45, 46, 51, 52]}"
34,family_practice,West,zh,0.839,360,F,34,Black,solo,3,16,True,,0,0.0,46800,"{""2023"": [1, 2, 5, 6, 9, 10, 11, 13, 14, 15, 16, 17, 20, 22, 25, 30, 31, 32, 33, 36, 37, 38, 43, 45, 47, 49]}"
35,family_practice,North,es,0.977,360,F,62,Hispanic,solo,4,31,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 20, 22, 24, 26, 36, 40, 41, 42, 44, 45, 48, 49, 52]}"
36,family_practice,East,en,0.943,360,F,46,Other,solo,4,17,True,,0,0.0,46800,"{""2023"": [3, 5, 6, 8, 9, 11, 14, 16, 18, 21, 22, 23, 28, 31, 32, 33, 35, 36, 37, 39, 42, 45, 47, 49, 50, 52]}"
37,family_practice,North,zh,0.567,360,M,65,Other,solo,3,7,True,,0,0.0,46800,"{""2023"": [2, 3, 6, 8, 9, 13, 16, 17, 18, 20, 24, 27, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 42, 44, 47, 48]}"
38,family_practice,South,en,0.901,360,M,38,Black,solo,3,21,True,,0,0.0,46800,"{""2023"": [2, 5, 6, 7, 8, 9, 10, 13, 16, 18, 20, 21, 22, 23, 24, 26, 27, 28, 32, 35, 37, 38, 39, 46, 48, 49]}"
39,family_practice,West,es,0.866,360,F,46,Hispanic,solo,5,28,True,,0,0.0,46800,"{""2023"": [3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 22, 24, 25, 27, 29, 30, 31, 34, 35, 36, 39, 44, 52]}"
40,family_practice,North,zh,0.909,360,F,52,Other,solo,1,26,True,,0,0.0,46800,"{""2023"": [2, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 18, 26, 27, 29, 32, 35, 36, 37, 40, 41, 46, 47, 50, 51, 52]}"
41,family_practice,East,en,0.933,360,M,56,Hispanic,solo,1,14,True,,0,0.0,46800,"{""2023"": [4, 5, 7, 9, 10, 11, 12, 13, 16, 17, 19, 20, 25, 26, 27, 28, 29, 32, 33, 36, 38, 40, 45, 46, 47, 52]}"
42,family_practice,Central,en,0.622,360,M,58,Other,solo,4,15,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 5, 7, 8, 10, 11, 15, 20, 22, 23, 25, 29, 31, 34, 35, 37, 38, 43, 44, 45, 46, 49, 50, 51]}"
43,family_practice,South,zh,0.984,360,F,39,Asian,solo,4,34,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 5, 8, 9, 13, 16, 17, 18, 23, 24, 25, 27, 31, 33, 34, 36, 38, 43, 44, 45, 46, 49, 51, 52]}"
44,family_practice,East,zh,0.8,360,F,47,Black,solo,5,40,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 4, 5, 6, 14, 17, 20, 21, 25, 28, 31, 32, 33, 35, 36, 37, 38, 41, 44, 46, 47, 49, 50, 52]}"
45,family_practice,Central,zh,0.657,360,F,59,White,solo,3,38,True,,0,0.0,46800,"{""2023"": [1, 3, 5, 8, 9, 15, 19, 20, 21, 24, 25, 30, 32, 33, 34, 35, 36, 37, 39, 40, 43, 44, 46, 47, 49, 52]}"
46,family_practice,Central,zh,0.648,360,F,48,Hispanic,group,4,33,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 7, 8, 10, 11, 12, 13, 14, 17, 18, 20, 22, 26, 31, 34, 35, 38, 41, 42, 45, 48, 50, 51, 52]}"
47,family_practice,South,zh,0.777,360,F,46,Asian,group,1,33,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 6, 7, 8, 12, 13, 14, 15, 17, 18, 19, 20, 23, 28, 31, 35, 36, 39, 40, 41, 43, 44, 49, 51]}"
48,family_practice,Central,zh,0.854,360,F,59,Asian,solo,2,6,True,,0,0.0,46800,"{""2023"": [1, 4, 5, 6, 8, 10, 16, 18, 20, 22, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 48, 49, 52]}"
49,family_practice,South,es,0.767,360,F,51,Other,group,5,5,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 19, 23, 25, 27, 28, 29, 33, 35, 39, 42, 43, 45, 46, 49, 52]}"
50,family_practice,East,es,0.856,360,F,43,White,group,3,36,True,,0,0.0,46800,"{""2023"": [1, 2, 6, 7, 8, 10, 11, 12, 14, 15, 18, 20, 25, 26, 27, 28, 32, 35, 36, 37, 38, 42, 45, 46, 50, 51]}"
51,family_practice,East,en,0.727,360,M,43,White,group,5,23,True,,0,0.0,46800,"{""2023"": [3, 7, 11, 13, 15, 16, 17, 19, 20, 21, 23, 24, 27, 29, 30, 31, 34, 35, 37, 39, 42, 43, 44, 46, 50, 52]}"
52,family_practice,East,zh,0.659,360,M,47,Other,group,1,12,True,,0,0.0,46800,"{""2023"": [1, 4, 6, 7, 8, 10, 11, 13, 15, 19, 20, 22, 24, 29, 32, 33, 35, 38, 40, 43, 44, 46, 47, 48, 50, 52]}"
53,family_practice,South,es,0.929,360,M,61,Asian,group,5,30,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 17, 18, 21, 23, 24, 25, 26, 27, 31, 34, 39, 42, 44, 48, 50, 52]}"
54,family_practice,Central,es,0.707,360,F,40,Asian,group,5,12,True,,0,0.0,46800,"{""2023"": [4, 9, 10, 12, 15, 19, 21, 24, 25, 26, 27, 28, 29, 36, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 52]}"
55,family_practice,North,zh,0.727,360,F,39,Asian,solo,4,18,True,,0,0.0,46800,"{""2023"": [5, 6, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 30, 32, 34, 35, 36, 38, 44, 45, 47, 48, 51]}"
56,family_practice,South,es,0.851,360,F,59,Other,solo,4,1,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 4, 6, 9, 10, 13, 15, 16, 17, 18, 24, 30, 31, 32, 33, 34, 35, 36, 37, 38, 42, 43, 48, 51]}"
57,family_practice,Central,en,0.676,360,F,37,White,group,5,7,True,,0,0.0,46800,"{""2023"": [2, 5, 7, 11, 15, 18, 21, 22, 24, 25, 26, 28, 30, 31, 33, 34, 36, 37, 40, 41, 42, 43, 45, 46, 50, 52]}"
58,family_practice,South,en,0.599,360,F,41,Asian,group,2,20,True,,0,0.0,46800,"{""2023"": [4, 5, 6, 8, 10, 11, 13, 15, 16, 25, 26, 27, 30, 31, 32, 35, 36, 37, 38, 39, 44, 45, 46, 49, 50, 51]}"
59,family_practice,West,en,0.665,360,F,34,White,group,3,8,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 7, 8, 9, 10, 12, 14, 16, 19, 21, 22, 23, 24, 25, 28, 29, 33, 36, 37, 43, 45, 46, 49, 52]}"
60,family_practice,North,en,0.796,360,F,33,Asian,solo,1,16,True,,0,0.0,46800,"{""2023"": [2, 4, 6, 7, 8, 9, 11, 12, 15, 17, 18, 19, 20, 24, 25, 29, 34, 38, 39, 40, 41, 42, 44, 46, 49, 50]}"
61,family_practice,West,zh,0.827,360,M,37,Other,group,4,26,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 8, 11, 13, 14, 15, 16, 19, 21, 25, 27, 29, 30, 31, 32, 37, 38, 40, 43, 44, 46, 47, 48, 51]}"
62,family_practice,West,en,0.78,360,F,43,Black,group,4,22,True,,0,0.0,46800,"{""2023"": [2, 7, 8, 10, 14, 17, 18, 19, 25, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 48, 49, 50]}"
63,family_practice,South,es,0.651,360,F,62,Black,group,5,32,True,,0,0.0,46800,"{""2023"": [2, 4, 5, 8, 9, 11, 12, 14, 15, 17, 20, 21, 22, 25, 28, 31, 32, 34, 35, 37, 38, 40, 41, 45, 46, 52]}"
64,family_practice,West,es,0.588,360,M,61,White,group,4,17,True,,0,0.0,46800,"{""2023"": [1, 3, 5, 6, 8, 9, 13, 17, 18, 19, 20, 23, 25, 28, 31, 33, 35, 37, 38, 39, 44, 46, 47, 48, 49, 52]}"
65,family_practice,South,en,0.915,360,F,31,Other,solo,5,1,True,,0,0.0,46800,"{""2023"": [1, 4, 5, 7, 8, 9, 11, 14, 17, 18, 19, 21, 22, 24, 25, 26, 28, 29, 34, 35, 39, 41, 44, 47, 50, 51]}"
66,family_practice,South,en,0.799,360,M,62,Hispanic,group,4,34,False,,0,0.0,46800,"{""2023"": [1, 5, 6, 7, 8, 9, 11, 13, 14, 16, 17, 18, 19, 25, 27, 32, 33, 35, 36, 39, 43, 45, 47, 49, 50, 51]}"
67,family_practice,East,es,0.787,360,F,60,Other,solo,1,17,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 5, 7, 9, 11, 12, 17, 18, 19, 26, 27, 28, 29, 31, 33, 34, 35, 38, 39, 40, 44, 45, 47, 51]}"
68,family_practice,Central,en,0.633,360,M,40,Black,solo,4,6,True,,0,0.0,46800,"{""2023"": [1, 4, 5, 7, 8, 10, 13, 16, 18, 19, 20, 22, 23, 24, 26, 30, 31, 34, 37, 42, 44, 47, 48, 49, 50, 51]}"
69,family_practice,East,en,0.605,360,M,49,Other,solo,1,16,True,,0,0.0,46800,"{""2023"": [2, 6, 9, 11, 14, 16, 19, 21, 22, 24, 25, 26, 30, 31, 34, 36, 37, 38, 40, 42, 44, 45, 46, 49, 51, 52]}"
70,family_practice,Central,zh,0.959,360,M,45,Other,solo,3,29,True,,0,0.0,46800,"{""2023"": [1, 2, 5, 7, 8, 11, 12, 13, 15, 16, 17, 22, 24, 25, 27, 28, 29, 31, 36, 37, 39, 43, 45, 47, 49, 52]}"
71,family_practice,East,es,0.604,360,F,46,Black,group,1,11,True,,0,0.0,46800,"{""2023"": [1, 2, 4, 5, 6, 9, 11, 12, 13, 14, 15, 17, 18, 20, 21, 23, 24, 26, 27, 29, 31, 39, 40, 43, 45, 49]}"
72,family_practice,Central,en,0.856,360,M,46,White,solo,5,9,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 6, 14, 16, 19, 20, 21, 24, 25, 29, 33, 35, 36, 37, 39, 40, 41, 42, 44, 45, 47, 48, 49, 50]}"
73,family_practice,Central,en,0.826,360,M,56,Black,solo,5,33,True,,0,0.0,46800,"{""2023"": [2, 3, 5, 8, 11, 13, 14, 15, 17, 18, 20, 21, 22, 25, 27, 29, 32, 33, 34, 36, 37, 43, 48, 50, 51, 52]}"
74,family_practice,North,en,0.82,360,F,40,Asian,group,4,38,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 5, 7, 8, 10, 12, 14, 16, 17, 19, 20, 21, 22, 26, 28, 30, 33, 36, 38, 41, 42, 43, 44, 51]}"
75,family_practice,South,en,0.669,360,M,61,Black,group,3,17,True,,0,0.0,46800,"{""2023"": [1, 5, 6, 7, 8, 15, 17, 18, 20, 24, 26, 32, 34, 35, 36, 37, 40, 41, 42, 43, 45, 46, 47, 48, 49, 51]}"
76,family_practice,West,en,0.853,360,M,50,Hispanic,solo,2,10,True,,0,0.0,46800,"{""2023"": [1, 2, 3, 5, 9, 11, 12, 13, 14, 17, 18, 19, 23, 26, 29, 33, 35, 37, 40, 44, 45, 46, 49, 50, 51, 52]}"
77,family_practice,Central,es,0.764,360,F,33,White,group,5,14,True,,0,0.0,46800,"{""2023"": [2, 3, 5, 6, 8, 9, 14, 21, 23, 24, 25, 28, 31, 35, 37, 38, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50]}"
78,family_practice,West,zh,0.766,360,M,54,Asian,group,5,23,True,,0,0.0,46800,"{""2023"": [2, 5, 6, 7, 8, 10, 14, 16, 18, 19, 20, 22, 23, 29, 32, 33, 36, 38, 39, 40, 42, 43, 45, 47, 48, 51]}"
79,family_practice,Central,es,0.934,360,F,46,Asian,solo,1,38,True,,0,0.0,46800,"{""2023"": [1, 5, 9, 10, 12, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 30, 32, 33, 35, 36, 37, 39, 45, 46, 50, 51]}"
80,family_practice,South,es,0.994,360,M,53,Other,group,3,38,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 7, 11, 15, 16, 18, 22, 25, 28, 29, 30, 31, 32, 34, 35, 36, 40, 41, 42, 45, 46, 49, 51, 52]}"
81,family_practice,East,es,0.714,360,F,48,Hispanic,solo,3,30,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 7, 9, 12, 14, 16, 18, 19, 20, 21, 23, 24, 28, 31, 35, 36, 38, 39, 41, 45, 46, 47, 48, 49]}"
82,family_practice,North,es,0.908,360,F,60,Asian,group,3,16,True,,0,0.0,46800,"{""2023"": [3, 4, 7, 11, 12, 14, 15, 18, 21, 22, 23, 24, 28, 29, 31, 32, 33, 36, 40, 42, 44, 46, 48, 49, 50, 51]}"
83,family_practice,West,es,0.622,360,F,45,Black,solo,3,2,False,,0,0.0,46800,"{""2023"": [4, 6, 7, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 36, 39, 44, 45, 47, 50, 51]}"
84,family_practice,North,en,0.91,360,M,38,Black,group,4,27,True,,0,0.0,46800,"{""2023"": [1, 3, 5, 6, 9, 11, 12, 18, 19, 22, 26, 28, 30, 31, 32, 34, 37, 38, 39, 40, 41, 44, 46, 47, 51, 52]}"
85,family_practice,South,zh,0.756,360,F,61,Asian,group,2,38,True,,0,0.0,46800,"{""2023"": [2, 4, 9, 10, 14, 15, 18, 20, 22, 24, 25, 28, 29, 30, 31, 34, 36, 38, 39, 40, 43, 45, 46, 48, 49, 52]}"
86,family_practice,South,en,0.61,360,M,46,Other,group,4,29,True,,0,0.0,46800,"{""2023"": [1, 3, 7, 8, 11, 13, 14, 15, 16, 17, 18, 21, 24, 25, 29, 30, 31, 32, 33, 34, 35, 45, 46, 48, 50, 52]}"
87,family_practice,South,es,0.636,360,F,56,Other,group,3,36,True,,0,0.0,46800,"{""2023"": [2, 7, 8, 11, 13, 15, 16, 18, 22, 23, 25, 27, 28, 29, 31, 33, 34, 35, 36, 39, 40, 43, 45, 49, 50, 51]}"
88,family_practice,Central,zh,0.741,360,M,43,Asian,solo,3,26,True,,0,0.0,46800,"{""2023"": [2, 3, 4, 6, 7, 9, 14, 16, 17, 18, 24, 25, 27, 29, 35, 36, 37, 38, 39, 40, 44, 46, 47, 48, 51, 52]}"
89,family_practice,South,es,0.798,360,F,31,Hispanic,group,4,33,True,,0,0.0,46800,"{""2023"": [2, 5, 6, 7, 9, 12, 17, 18, 21, 22, 24, 25, 29, 30, 33, 35, 37, 40, 42, 43, 45, 46, 48, 49, 50, 52]}"
90,family_practice,West,zh,0.789,360,F,40,Asian,solo,4,38,True,,0,0.0,46800,"{""2023"": [2, 4, 5, 7, 11, 14, 16, 17, 18, 19, 24, 27, 30, 31, 33, 38, 39, 40, 41, 43, 47, 48, 49, 50, 51, 52]}"
91,family_practice,Central,en,0.68,360,F,35,White,solo,1,10,True,,0,0.0,46800,"{""2023"": [1, 4, 5, 6, 9, 10, 11, 12, 15, 17, 18, 21, 23, 26, 29, 33, 34, 37, 38, 41, 42, 43, 44, 47, 48, 49]}"
92,family_practice,West,en,0.781,360,F,61,Black,solo,5,25,False,,0,0.0,46800,"{""2023"": [2, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 26, 28, 29, 30, 31, 32, 33, 37, 39, 40, 43, 45, 47, 51, 52]}"
93,family_practice,North,es,0.776,360,F,59,Asian,group,2,25,True,,0,0.0,46800,"{""2023"": [3, 4, 5, 6, 9, 10, 11, 12, 13, 17, 18, 20, 23, 24, 25, 30, 33, 35, 37, 39, 40, 43, 47, 50, 51, 52]}"
94,family_practice,West,es,0.613,360,M,38,Asian,group,4,24,False,,0,0.0,46800,"{""2023"": [3, 7, 8, 10, 11, 12, 13, 16, 18, 23, 24, 26, 27, 28, 29, 31, 33, 35, 38, 40, 41, 42, 47, 48, 49, 51]}"
95,family_practice,Central,zh,0.688,360,M,36,Other,group,3,3,True,,0,0.0,46800,"{""2023"": [3, 5, 6, 8, 9, 11, 12, 14, 15, 17, 18, 21, 24, 26, 27, 29, 31, 32, 34, 36, 37, 38, 47, 48, 49, 50]}"
96,family_practice,West,es,0.611,360,M,64,Other,solo,2,16,True,,0,0.0,46800,"{""2023"": [1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 18, 20, 21, 24, 26, 27, 30, 32, 38, 39, 41, 42, 45, 48, 52]}"
97,family_practice,North,es,0.611,360,M,35,Black,solo,3,3,False,,0,0.0,46800,"{""2023"": [1, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 19, 23, 26, 27, 31, 34, 35, 38, 39, 41, 44, 46, 47, 48, 50]}"
98,family_practice,East,zh,0.826,360,F,36,Other,group,4,38,True,,0,0.0,46800,"{""2023"": [5, 7, 8, 11, 14, 18, 25, 26, 27, 28, 29, 32, 33, 34, 35, 37, 39, 40, 41, 43, 45, 46, 47, 49, 50, 52]}"
99,family_practice,West,zh,0.95,360,M,37,Asian,solo,1,27,True,,0,0.0,46800,"{""2023"": [2, 3, 5, 6, 11, 12, 13, 14, 16, 17, 18, 20, 21, 25, 26, 28, 29, 31, 32, 33, 35, 40, 42, 48, 49, 51]}"
100,family_practice,West,zh,0.763,360,F,35,Other,solo,5,10,True,,0,0.0,46800,"{""2023"": [2, 4, 6, 7, 8, 12, 13, 14, 18, 19, 20, 21, 23, 25, 28, 33, 35, 36, 39, 40, 41, 44, 45, 49, 50, 52]}"
101,family_practice,South,zh,0.831,360,M,34,White,group,2,20,True,,0,0.0,46800,"{""2023"": [6, 8, 9, 10, 12, 13, 15, 21, 22, 23, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 40, 46, 47, 50, 51, 52]}"
102,family_practice,East,zh,0.706,360,M,63,Black,solo,3,1,True,,0,0.0,46800,"{""2023"": [2, 3, 7, 8, 9, 15, 17, 18, 20, 21, 23, 24, 25, 26, 29, 31, 34, 37, 40, 41, 42, 43, 44, 45, 49, 52]}"
103,family_practice,North,zh,0.912,360,F,53,Other,solo,3,6,True,,0,0.0,46800,"{""2023"": [2, 8, 9, 11, 17, 18, 19, 21, 22, 23, 25, 26, 28, 30, 32, 33, 35, 36, 37, 38, 40, 42, 43, 47, 48, 51]}"
104,family_practice,South,en,0.924,360,F,44,Hispanic,solo,1,9,True,,0,0.0,46800,"{""2023"": [2, 4, 6, 7, 11, 13, 19, 20, 22, 24, 27, 34, 35, 36, 37, 38, 40, 41, 42, 46, 47, 48, 49, 50, 51, 52]}"
105,family_practice,East,es,0.809,360,F,52,Hispanic,solo,3,18,True,,0,0.0,46800,"{""2023"": [2, 3, 10, 11, 13, 15, 16, 17, 20, 21, 22, 26, 28, 30, 31, 32, 33, 34, 35, 38, 40, 41, 43, 47, 51, 52]}"
