doctor_id,specialty,region,language,quality_score,daily_minutes,gender,age,race,service_type,services_count,experience_years,board_certified,current_panel_size,expeceted_workload,max_workload,hires_at
58,family_practice,West,zh,0.976,360,F,35,Asian,solo,2,40,True,137,1564.5266999999983,1560.0,
59,family_practice,West,en,0.617,360,M,58,Other,solo,4,31,True,106,1577.9255000000003,1560.0,
60,family_practice,East,en,0.845,360,M,64,Asian,group,2,25,True,79,1568.2199999999996,1560.0,
61,family_practice,West,zh,0.78,360,F,47,White,solo,5,39,True,129,1562.402599999999,1560.0,
62,family_practice,North,en,0.828,360,M,64,Asian,group,2,6,True,97,1567.1516000000004,1560.0,
63,family_practice,North,en,0.71,360,M,45,Asian,group,4,23,False,111,1561.9366000000007,1560.0,
64,family_practice,North,zh,0.913,360,M,31,Other,group,2,19,False,105,1576.4993999999997,1560.0,
65,family_practice,East,es,0.614,360,F,58,Asian,group,1,22,True,154,1560.4838999999993,1560.0,
66,family_practice,West,es,0.84,360,M,34,Black,group,3,20,True,124,1560.2377,1560.0,
67,family_practice,South,zh,0.594,360,M,65,Asian,group,3,5,True,149,1572.4216999999994,1560.0,
68,family_practice,North,en,0.932,360,F,40,Black,group,4,22,False,140,1561.8615999999981,1560.0,
69,family_practice,Central,es,0.754,360,F,38,Black,solo,4,19,True,156,1561.2705999999991,1560.0,
70,family_practice,West,es,0.819,360,M,61,Hispanic,solo,3,23,True,121,1583.1063000000006,1560.0,
71,family_practice,North,es,0.677,360,M,31,Hispanic,group,4,14,True,133,1568.4706999999999,1560.0,
72,family_practice,North,zh,0.898,360,M,36,Asian,solo,5,12,True,117,1570.6935000000005,1560.0,
73,family_practice,South,zh,0.883,360,F,44,Other,solo,4,26,True,131,1573.7448999999995,1560.0,
74,family_practice,East,en,0.634,360,F,62,Hispanic,group,3,7,True,121,1562.4240999999995,1560.0,
75,family_practice,North,zh,0.883,360,F,49,Asian,group,1,1,True,141,1569.5014999999987,1560.0,
76,family_practice,North,zh,0.88,360,F,44,Asian,group,2,11,True,165,1576.9652999999983,1560.0,
77,family_practice,Central,en,0.752,360,M,44,Black,solo,3,23,False,135,1582.1185999999998,1560.0,
78,family_practice,South,es,0.759,360,F,43,White,group,5,37,True,120,1565.2577999999987,1560.0,
79,family_practice,Central,zh,0.821,360,M,42,Black,solo,5,24,True,130,1577.9799000000003,1560.0,
80,family_practice,North,zh,0.675,360,F,56,Hispanic,solo,5,38,True,121,1566.8069999999996,1560.0,
81,family_practice,North,en,0.861,360,M,65,White,group,2,19,True,102,1590.2105999999994,1560.0,
82,family_practice,Central,es,0.898,360,F,41,Hispanic,solo,3,26,True,164,1589.7991999999977,1560.0,
83,family_practice,Central,zh,0.697,360,F,57,Hispanic,group,1,38,True,131,1566.6700999999994,1560.0,
84,family_practice,West,en,0.702,360,F,62,Black,group,5,33,True,104,1563.4570999999992,1560.0,
85,family_practice,East,es,0.696,360,F,64,Black,solo,2,18,True,183,1565.4761999999976,1560.0,
86,family_practice,Central,es,0.721,360,M,61,Other,solo,4,12,True,155,1569.2851999999996,1560.0,
87,family_practice,South,zh,0.848,360,F,50,Hispanic,group,4,27,True,114,1573.4181999999992,1560.0,
88,family_practice,West,es,0.748,360,M,64,Other,group,2,17,True,126,1568.9480000000008,1560.0,
89,family_practice,South,es,0.928,360,M,42,Asian,solo,3,8,True,142,1585.213299999999,1560.0,
90,family_practice,South,es,0.87,360,M,32,Black,solo,5,36,True,103,1561.4500000000003,1560.0,
91,family_practice,East,zh,0.914,360,F,54,Asian,solo,1,4,True,360,1562.4879999999962,1560.0,
92,family_practice,South,en,0.943,360,F,38,Other,solo,4,27,True,143,1577.3320999999994,1560.0,
93,family_practice,South,en,0.948,360,M,44,White,solo,1,37,True,96,1585.7010000000002,1560.0,
94,family_practice,South,en,0.711,360,M,49,Black,solo,3,5,True,119,1562.6731000000002,1560.0,
95,family_practice,North,es,0.826,360,F,60,Asian,group,4,18,True,152,1573.202299999999,1560.0,
96,family_practice,Central,en,0.927,360,F,47,Black,solo,2,34,True,119,1561.9347999999993,1560.0,
97,family_practice,Central,en,0.755,360,F,52,Asian,solo,4,10,True,155,1571.5709000000006,1560.0,
98,family_practice,Central,en,0.729,360,M,36,Other,group,1,30,True,89,1569.8399,1560.0,
99,family_practice,West,es,0.686,360,M,30,White,group,2,33,True,95,1584.4349,1560.0,
100,family_practice,East,en,0.748,360,M,44,White,solo,2,10,True,124,1589.3671000000006,1560.0,
101,family_practice,South,en,0.61,360,F,62,Hispanic,group,5,20,True,114,1560.362599999999,1560.0,
102,family_practice,Central,zh,0.986,360,M,59,White,solo,4,38,True,81,1581.3427000000006,1560.0,
103,family_practice,East,zh,0.883,360,F,59,Other,group,5,38,True,99,1581.3680999999995,1560.0,
104,family_practice,Central,es,0.897,360,M,33,Black,group,3,3,True,123,1565.1711000000016,1560.0,
105,family_practice,West,zh,0.875,360,F,39,Other,solo,3,19,False,193,1561.8542999999977,1560.0,
106,family_practice,North,es,0.787,360,F,34,White,solo,4,2,True,138,1565.4607999999994,1560.0,
107,family_practice,West,en,0.884,360,F,56,Hispanic,solo,2,19,False,166,1562.5591999999979,1560.0,
108,family_practice,North,en,0.908,360,F,64,Black,group,4,39,True,91,1572.5038999999997,1560.0,
109,family_practice,West,es,0.712,360,M,51,Hispanic,group,2,37,True,80,1590.3024,1560.0,
110,family_practice,West,es,0.718,360,F,65,Asian,group,3,27,True,153,1584.6337999999987,1560.0,
111,family_practice,South,es,0.65,360,F,59,Other,group,1,28,True,136,1561.552699999999,1560.0,
112,family_practice,North,en,0.802,360,M,30,Black,solo,1,38,True,85,1572.828,1560.0,
113,family_practice,West,es,0.654,360,M,49,Asian,group,5,20,True,108,1560.8731999999989,1560.0,
114,family_practice,West,zh,0.815,360,M,36,Black,solo,3,10,True,110,1566.1746000000005,1560.0,
115,family_practice,East,zh,0.935,360,M,35,Asian,solo,5,24,True,110,1577.4664000000002,1560.0,
116,family_practice,South,en,0.658,360,F,62,Asian,group,4,6,True,157,1588.3042999999982,1560.0,
117,family_practice,North,zh,0.978,360,F,63,Asian,group,2,34,True,131,1574.3134,1560.0,
118,family_practice,East,en,0.759,360,F,58,Asian,solo,4,5,True,153,1582.0504999999996,1560.0,
119,family_practice,South,en,0.925,360,M,57,White,group,1,22,True,116,1572.6752000000001,1560.0,
120,family_practice,East,zh,0.72,360,F,38,Black,group,3,30,True,148,1582.9040999999993,1560.0,
121,family_practice,South,en,0.631,360,M,30,Other,group,2,12,False,120,1560.3876,1560.0,
122,family_practice,East,es,0.791,360,M,45,Other,solo,4,24,True,124,1579.4772,1560.0,
123,family_practice,Central,en,0.88,360,M,31,Hispanic,solo,5,14,True,99,1566.3007000000005,1560.0,
124,family_practice,North,en,0.707,360,F,47,Other,group,2,8,True,123,1578.2247999999997,1560.0,
125,family_practice,East,zh,0.832,360,F,35,Asian,group,4,29,True,122,1572.5535999999988,1560.0,
126,family_practice,East,es,0.669,360,M,59,White,group,4,32,True,89,1569.5816999999997,1560.0,
127,family_practice,South,es,0.692,360,M,53,Other,group,5,15,False,145,1580.804,1560.0,
128,family_practice,East,es,0.868,360,F,59,Asian,solo,3,1,True,222,1574.028999999997,1560.0,
129,family_practice,East,es,0.72,360,M,36,Other,solo,2,8,True,188,1562.3990999999999,1560.0,
130,family_practice,South,zh,0.676,360,M,41,Hispanic,solo,3,33,False,135,1572.2231000000002,1560.0,
131,family_practice,West,es,0.796,360,F,39,White,group,3,14,True,156,1560.913499999998,1560.0,
132,family_practice,South,zh,0.721,360,M,56,Asian,solo,1,17,True,127,1562.7533000000005,1560.0,
133,family_practice,East,en,0.889,360,F,57,White,solo,3,23,False,139,1583.358199999999,1560.0,
134,family_practice,South,en,0.878,360,F,60,Hispanic,solo,2,23,True,159,1578.8670999999974,1560.0,
135,family_practice,West,zh,0.891,360,M,48,Other,group,2,34,True,85,1565.0012999999997,1560.0,
136,family_practice,South,zh,0.965,360,M,52,Other,solo,4,32,True,93,1570.9558,1560.0,
137,family_practice,West,es,0.789,360,F,65,Other,solo,4,13,True,147,1561.8738999999996,1560.0,
138,family_practice,Central,zh,0.837,360,F,30,White,group,3,34,True,117,1562.1509999999987,1560.0,
139,family_practice,South,es,0.694,360,M,43,Other,solo,3,18,True,123,1581.1227999999999,1560.0,
140,family_practice,East,es,0.654,360,M,43,White,group,3,1,True,135,1560.0688000000002,1560.0,
141,family_practice,West,es,0.742,360,M,30,Black,solo,5,21,True,119,1564.7848,1560.0,
142,family_practice,North,zh,0.562,360,F,61,Other,group,5,2,True,149,1566.3475000000003,1560.0,
143,family_practice,North,zh,0.67,360,F,63,Asian,group,4,14,True,143,1562.9249999999995,1560.0,
144,family_practice,East,es,0.698,360,M,63,Hispanic,group,3,34,True,95,1560.4514000000004,1560.0,
145,family_practice,Central,zh,0.819,360,F,43,Black,group,2,36,True,133,1578.9197999999992,1560.0,
146,family_practice,North,es,0.866,360,F,61,Asian,solo,1,35,True,132,1572.3225999999995,1560.0,
147,family_practice,North,en,0.765,360,F,52,White,solo,5,23,False,146,1576.9612999999986,1560.0,
148,family_practice,South,es,0.794,360,F,33,Other,group,1,8,True,173,1570.465699999998,1560.0,
149,family_practice,South,en,0.867,360,F,47,Hispanic,solo,3,31,False,148,1567.9572999999987,1560.0,
150,family_practice,West,zh,0.701,360,F,51,Black,group,2,4,True,149,1560.3634999999983,1560.0,
151,family_practice,East,zh,0.875,360,M,40,Hispanic,group,2,40,False,110,1562.5953999999997,1560.0,
152,family_practice,East,en,0.81,360,M,36,Asian,group,4,32,True,84,1568.0289000000002,1560.0,
153,family_practice,North,en,0.671,360,F,44,Asian,solo,1,12,True,145,1585.145699999999,1560.0,
154,family_practice,West,zh,0.683,360,F,59,Black,group,2,12,True,145,1573.3249999999982,1560.0,
155,family_practice,East,zh,0.756,360,F,65,Asian,group,1,2,True,172,1581.9652999999987,1560.0,
156,family_practice,West,es,0.698,360,M,44,Black,group,1,1,True,134,1561.952299999999,1560.0,
157,family_practice,North,zh,0.898,360,F,64,Hispanic,group,1,24,True,162,1571.8430999999982,1560.0,
158,family_practice,South,zh,0.59,360,F,33,Hispanic,solo,1,18,True,161,1560.9462999999982,1560.0,
159,family_practice,Central,en,0.601,360,F,54,Other,group,2,14,True,132,1580.2392999999997,1560.0,
160,family_practice,Central,es,0.62,360,F,62,White,group,3,33,True,136,1565.3702999999985,1560.0,
161,family_practice,South,zh,0.853,360,F,37,Asian,solo,2,33,True,148,1579.3082999999988,1560.0,
162,family_practice,North,es,0.94,360,M,49,Asian,group,3,29,True,83,1574.9495999999995,1560.0,
163,family_practice,East,es,0.791,360,F,65,Hispanic,solo,5,32,True,172,1574.5604999999982,1560.0,
164,family_practice,West,en,0.624,360,M,48,Hispanic,solo,5,8,True,119,1568.3305999999993,1560.0,
165,family_practice,West,zh,0.792,360,F,34,Other,group,2,21,True,172,1575.2075999999984,1560.0,
166,family_practice,West,es,0.604,360,F,30,White,group,4,12,True,152,1562.9049999999988,1560.0,
167,family_practice,Central,en,0.794,360,F,31,Other,group,4,33,True,100,1583.3336999999997,1560.0,
168,family_practice,East,zh,0.69,360,F,62,Hispanic,solo,5,24,True,140,1570.237299999999,1560.0,
169,family_practice,East,es,0.869,360,M,58,Black,group,4,37,True,79,1564.2427000000002,1560.0,
170,family_practice,North,zh,0.885,360,F,36,Hispanic,solo,1,11,True,140,1562.0295999999998,1560.0,
171,family_practice,North,en,0.724,360,M,34,Other,solo,5,20,True,110,1584.3140000000005,1560.0,
172,family_practice,West,es,0.703,360,M,47,Asian,solo,3,12,True,138,1584.1645000000003,1560.0,
173,family_practice,East,en,0.667,360,M,40,Black,solo,2,25,False,149,1563.2573999999993,1560.0,
174,family_practice,Central,en,0.706,360,F,43,White,solo,1,39,True,120,1578.2178999999992,1560.0,
175,family_practice,West,en,0.68,360,M,36,Other,solo,5,40,True,104,1565.6337999999996,1560.0,
176,family_practice,South,en,0.834,360,M,39,Asian,solo,1,30,True,103,1561.5871000000006,1560.0,
177,family_practice,Central,es,0.93,360,F,60,Hispanic,group,5,10,True,157,1585.0427999999993,1560.0,
178,family_practice,Central,es,0.816,360,F,63,White,solo,4,28,True,146,1565.4676999999986,1560.0,
179,family_practice,East,zh,0.946,360,M,51,Black,group,3,25,True,109,1566.1700000000003,1560.0,
180,family_practice,East,es,0.803,360,F,34,Hispanic,solo,2,38,True,149,1565.5518999999995,1560.0,
181,family_practice,North,es,0.805,360,M,50,Asian,group,4,13,True,133,1587.4063000000006,1560.0,
182,family_practice,South,es,0.648,360,F,64,Other,solo,2,36,True,157,1576.7392999999993,1560.0,
183,family_practice,West,en,0.625,360,M,36,Other,group,3,15,False,121,1567.3262,1560.0,
184,family_practice,West,es,0.86,360,F,60,Asian,group,1,35,True,112,1569.2019999999998,1560.0,
185,family_practice,East,es,0.855,360,F,60,Other,solo,2,35,True,124,1570.8532999999984,1560.0,
186,family_practice,Central,es,0.96,360,F,46,Other,solo,2,31,True,139,1563.3137999999997,1560.0,
187,family_practice,Central,es,0.579,360,M,30,Asian,solo,5,8,True,122,1562.8959000000004,1560.0,
188,family_practice,East,es,0.92,360,M,43,Asian,group,3,6,True,129,1562.7141000000008,1560.0,
189,family_practice,East,es,0.947,360,F,49,Black,solo,2,21,True,144,1581.2984999999987,1560.0,
190,family_practice,East,es,0.8,360,F,62,Black,solo,3,26,True,150,1563.8921999999986,1560.0,
191,family_practice,East,es,0.732,360,M,39,Hispanic,solo,3,23,True,145,1574.7471999999996,1560.0,
192,family_practice,West,zh,0.81,360,M,59,Hispanic,group,1,12,True,125,1566.5867000000007,1560.0,
193,family_practice,Central,zh,0.623,360,M,60,Hispanic,solo,5,34,True,112,1567.0387000000005,1560.0,
194,family_practice,West,es,0.661,360,F,64,Asian,solo,2,17,True,164,1564.1008999999988,1560.0,
195,family_practice,East,es,0.92,360,F,50,White,solo,3,31,True,139,1569.953699999999,1560.0,
196,family_practice,West,en,0.587,360,M,41,White,solo,5,2,True,125,1569.2429000000004,1560.0,
197,family_practice,East,en,0.733,360,M,30,Other,solo,2,10,False,401,1477.0987999999966,1560.0,
198,family_practice,East,en,0.722,360,F,53,White,solo,5,18,True,128,1571.9995999999985,1560.0,
199,family_practice,North,zh,0.924,360,M,65,Black,group,3,14,True,121,1562.7670000000007,1560.0,
200,family_practice,Central,en,0.739,360,M,59,Other,group,2,15,False,109,1568.3629000000008,1560.0,
201,internal_medicine,South,en,0.815,360,F,45,Asian,solo,2,4,True,123,1580.098,1560.0,
202,internal_medicine,East,zh,0.729,360,F,64,Other,solo,5,29,True,132,1566.0414999999987,1560.0,
203,internal_medicine,Central,en,0.854,360,F,63,White,solo,4,27,True,128,1580.3440999999993,1560.0,
204,internal_medicine,North,es,0.878,360,F,46,White,solo,5,34,True,124,1562.211599999999,1560.0,
205,internal_medicine,Central,es,0.892,360,F,53,Hispanic,solo,5,19,True,159,1563.0676999999985,1560.0,
206,internal_medicine,East,en,1.0,360,F,42,Hispanic,group,1,35,True,109,1565.6921,1560.0,
207,internal_medicine,North,es,0.794,360,M,50,White,group,2,26,True,96,1585.5268999999998,1560.0,
208,internal_medicine,East,es,0.801,360,F,42,Other,group,4,38,True,120,1567.6914999999992,1560.0,
209,internal_medicine,North,zh,0.964,360,M,30,Hispanic,group,2,26,True,109,1573.6049,1560.0,
210,internal_medicine,West,es,0.769,360,M,62,Other,solo,2,18,True,127,1560.9400000000003,1560.0,
211,internal_medicine,North,es,0.713,360,M,53,Asian,group,3,10,True,121,1562.3835000000001,1560.0,
212,internal_medicine,East,en,0.681,360,F,33,Other,group,5,16,False,145,1561.8876999999982,1560.0,
213,internal_medicine,Central,zh,0.949,360,F,48,Hispanic,solo,4,12,True,156,1580.225699999999,1560.0,
214,internal_medicine,North,en,0.819,360,F,42,Other,group,4,14,True,134,1583.521599999999,1560.0,
215,internal_medicine,North,es,0.835,360,F,50,Asian,solo,3,8,True,156,1567.582999999999,1560.0,
216,internal_medicine,South,zh,0.76,360,F,33,White,solo,3,3,True,157,1560.5258999999974,1560.0,
217,internal_medicine,North,zh,1.0,360,F,43,Black,solo,2,25,True,138,1562.7830999999999,1560.0,
218,internal_medicine,South,es,0.722,360,F,46,Asian,group,1,35,False,124,1571.6731999999997,1560.0,
219,internal_medicine,East,en,0.684,360,F,40,Other,solo,5,17,True,141,1573.1427,1560.0,
220,internal_medicine,East,en,0.703,360,M,31,Asian,solo,1,10,True,118,1572.8126000000002,1560.0,
221,internal_medicine,West,en,0.964,360,M,35,Hispanic,solo,3,35,True,114,1562.3443000000004,1560.0,
222,internal_medicine,South,es,0.683,360,M,30,Other,group,2,11,True,97,1570.9485000000004,1560.0,
223,internal_medicine,North,en,0.669,360,F,35,Other,solo,1,13,True,148,1566.2093000000002,1560.0,
224,internal_medicine,Central,zh,0.754,360,M,56,Asian,group,3,25,True,118,1572.2150000000001,1560.0,
225,internal_medicine,Central,es,0.76,360,M,43,White,solo,2,16,True,102,1565.6350000000002,1560.0,
226,internal_medicine,West,es,0.789,360,M,56,Black,solo,5,32,True,93,1562.5671000000004,1560.0,
227,internal_medicine,West,en,0.613,360,F,56,Black,solo,5,1,True,151,1565.4963999999982,1560.0,
228,internal_medicine,East,zh,0.924,360,F,57,Black,group,2,39,True,129,1574.9139999999989,1560.0,
229,internal_medicine,East,en,0.719,360,M,63,Black,group,3,19,True,101,1564.2241999999994,1560.0,
230,internal_medicine,South,zh,0.963,360,F,46,White,solo,3,16,True,144,1577.3237999999992,1560.0,
231,internal_medicine,North,en,0.997,360,M,30,White,group,3,36,True,95,1562.3591999999996,1560.0,
232,internal_medicine,East,zh,0.982,360,M,60,Asian,group,5,13,True,121,1584.1928,1560.0,
233,internal_medicine,East,en,0.763,360,F,44,Other,group,2,3,True,146,1562.9077999999986,1560.0,
234,internal_medicine,East,en,1.0,360,M,39,Asian,group,3,32,True,82,1566.6357999999996,1560.0,
235,internal_medicine,East,es,0.686,360,F,58,Asian,group,2,6,False,157,1574.8538999999982,1560.0,
236,internal_medicine,North,zh,0.926,360,F,35,Hispanic,group,3,38,True,117,1562.8998999999994,1560.0,
237,internal_medicine,Central,zh,0.652,360,F,59,Black,group,2,24,True,150,1566.2963999999988,1560.0,
238,internal_medicine,East,zh,0.878,360,F,41,White,solo,4,20,True,162,1561.3141999999996,1560.0,
239,internal_medicine,South,zh,0.713,360,M,55,Black,solo,2,29,False,130,1565.1988999999999,1560.0,
240,internal_medicine,East,en,0.768,360,M,55,Asian,solo,1,19,True,131,1569.4315,1560.0,
241,internal_medicine,East,es,0.959,360,F,38,Black,group,1,26,True,121,1561.9435999999992,1560.0,
242,internal_medicine,North,en,0.911,360,M,61,Asian,group,1,13,True,93,1562.9562999999998,1560.0,
243,internal_medicine,West,zh,0.949,360,M,54,Asian,group,4,31,True,102,1576.6370999999997,1560.0,
244,internal_medicine,Central,en,0.876,360,F,60,Other,solo,1,18,True,128,1562.2317,1560.0,
245,internal_medicine,Central,en,0.97,360,F,65,Hispanic,group,4,15,True,105,1568.6286999999995,1560.0,
246,internal_medicine,East,es,0.942,360,F,43,Other,group,1,26,True,165,1568.4634999999987,1560.0,
247,internal_medicine,South,en,0.835,360,F,33,Hispanic,solo,5,37,True,111,1560.3539999999994,1560.0,
248,internal_medicine,Central,zh,0.996,360,M,63,Hispanic,group,5,22,True,87,1579.4445,1560.0,
249,internal_medicine,West,es,1.0,360,M,30,Hispanic,group,3,38,True,99,1562.5793,1560.0,
250,internal_medicine,Central,es,0.66,360,F,59,White,group,4,7,True,159,1561.3936999999987,1560.0,
251,internal_medicine,South,es,0.836,360,F,36,Black,group,4,9,True,121,1560.4571999999994,1560.0,
252,internal_medicine,North,zh,0.702,360,F,39,Asian,solo,2,37,True,155,1575.0750999999989,1560.0,
253,internal_medicine,South,es,0.918,360,M,35,Asian,solo,2,4,True,119,1575.1527000000003,1560.0,
254,internal_medicine,West,zh,0.778,360,F,57,Black,solo,5,21,True,160,1569.209699999999,1560.0,
255,internal_medicine,Central,es,0.686,360,M,36,Asian,group,4,14,True,126,1577.1914000000006,1560.0,
256,internal_medicine,East,en,0.918,360,M,62,Hispanic,group,3,39,False,107,1586.4362999999998,1560.0,
257,internal_medicine,Central,zh,0.647,360,F,63,Other,solo,5,14,True,170,1564.105699999999,1560.0,
258,internal_medicine,Central,es,0.905,360,F,48,Asian,solo,1,39,True,159,1568.6844999999983,1560.0,
259,internal_medicine,South,en,0.656,360,M,49,Other,solo,2,15,True,107,1582.9770000000005,1560.0,
260,internal_medicine,North,es,0.784,360,F,55,Hispanic,group,1,15,True,168,1576.345499999999,1560.0,
261,internal_medicine,Central,en,0.764,360,M,37,White,solo,5,35,True,76,1567.1434999999994,1560.0,
262,internal_medicine,Central,es,0.929,360,M,49,Other,solo,5,38,True,100,1577.5848999999998,1560.0,
263,internal_medicine,South,zh,0.672,360,F,49,Other,group,2,15,True,146,1575.1800999999984,1560.0,
264,internal_medicine,West,es,0.952,360,F,56,Other,solo,1,6,True,170,1569.273299999998,1560.0,
265,internal_medicine,Central,zh,0.71,360,F,43,White,solo,5,21,True,128,1560.375899999998,1560.0,
266,internal_medicine,South,en,0.832,360,F,35,Hispanic,solo,3,8,True,126,1563.4521999999995,1560.0,
267,internal_medicine,North,zh,0.937,360,F,32,White,group,5,16,True,144,1560.2959999999998,1560.0,
268,internal_medicine,West,es,1.0,360,M,42,White,solo,4,19,True,121,1564.8654999999994,1560.0,
269,internal_medicine,Central,zh,1.0,360,F,55,Hispanic,solo,2,36,True,118,1570.5566,1560.0,
270,internal_medicine,North,en,0.768,360,F,39,Hispanic,group,5,33,True,116,1566.2097999999999,1560.0,
271,internal_medicine,East,en,0.615,360,M,31,Hispanic,solo,4,7,True,134,1580.0711000000003,1560.0,
272,internal_medicine,East,es,0.651,360,F,32,Black,group,4,6,True,165,1561.5744999999986,1560.0,
